t_us,tgt_l,tgt_r,erpm_l,erpm_r,i_l,i_r,duty_l,duty_r,vin
536631467,0,500,48,37,-0.700,2.900,0.0110,0.1500,41.70
536641403,0,500,48,37,-0.700,2.900,0.0110,0.1500,41.70
536651850,0,0,129,475,-0.200,0.700,-0.0480,0.0610,41.70
536661429,0,0,129,475,-0.200,0.700,-0.0480,0.0610,41.70
536671757,0,0,-101,-41,0.000,2.600,-0.0090,0.0730,41.70
536681391,0,0,-101,-41,0.000,2.600,-0.0090,0.0730,41.70
536691443,0,0,72,222,-0.200,0.500,0.0030,0.0500,41.70
536701416,0,0,72,222,-0.200,0.500,0.0030,0.0500,41.70
536711428,0,0,-83,-48,0.000,-0.400,-0.0450,-0.0040,41.70
536721461,0,0,-83,-48,0.000,-0.400,-0.0450,-0.0040,41.70
536731417,0,0,-83,28,0.000,0.300,-0.0450,0.0570,41.70
536741417,0,0,11,28,0.200,0.300,0.0220,0.0570,41.70
536751471,0,0,11,307,0.200,-0.600,0.0220,0.0020,41.70
536761399,0,0,-42,307,0.300,-0.600,0.0000,0.0020,41.70
536771426,0,0,-42,307,0.300,-0.600,0.0000,0.0020,41.70
536781502,0,0,-105,20,-0.300,0.100,0.0050,0.0520,41.70
536791412,0,0,-105,20,-0.300,0.100,0.0050,0.0520,41.70
536801494,0,0,133,263,0.700,-0.800,-0.0260,0.0250,41.70
536811384,0,0,133,263,0.700,-0.800,-0.0260,0.0250,41.70
536821610,0,0,-36,-39,0.200,-0.500,-0.0040,0.0340,41.70
536831383,0,0,-36,-39,0.200,-0.500,-0.0040,0.0340,41.70
536841389,0,0,-7,241,-0.100,-0.700,0.0140,0.0120,41.70
536851431,0,0,-7,241,-0.100,-0.700,0.0140,0.0120,41.70
536861393,0,0,0,32,0.400,0.000,-0.0300,0.0100,41.70
536871432,0,0,0,32,0.400,0.000,-0.0300,0.0100,41.70
536881616,0,0,0,87,0.200,-0.600,-0.0160,0.0220,41.70
536891383,0,0,0,87,0.200,-0.600,-0.0160,0.0220,41.70
536902012,0,0,0,156,-0.200,-0.600,0.0060,0.0020,41.70
536911382,0,0,0,156,-0.200,-0.600,0.0060,0.0020,41.70
536921424,0,0,0,120,0.300,0.900,-0.0050,-0.0020,41.70
536931442,0,0,0,120,0.300,0.900,-0.0050,-0.0020,41.70
536941471,0,0,0,173,-0.200,-0.800,0.0030,0.0030,41.70
536951441,0,0,0,173,-0.200,-0.800,0.0030,0.0030,41.70
536961489,0,0,0,82,0.300,1.000,-0.0050,-0.0060,41.70
