t_us,tgt_l,tgt_r,erpm_l,erpm_r,i_l,i_r,duty_l,duty_r,vin
454171431,1500,0,1848,132,-0.200,1.000,0.1090,-0.0240,41.80
454181561,1500,0,1848,132,-0.200,1.000,0.1090,-0.0240,41.80
454191390,1500,0,1798,77,-0.200,-0.900,0.1270,0.0250,41.80
454201478,1500,0,1798,77,-0.200,-0.900,0.1270,0.0250,41.80
454211431,1500,0,1780,144,-0.100,1.300,0.0940,-0.0270,41.80
454221389,1500,0,1780,144,-0.100,1.300,0.0940,-0.0270,41.80
454231430,1500,0,1748,145,-0.100,-1.300,0.1190,0.0030,41.80
454241434,1500,0,1748,145,-0.100,-1.300,0.1190,0.0030,41.80
454251449,1500,0,1693,149,-0.100,1.700,0.1130,-0.0130,41.80
454261442,1500,0,1693,149,-0.100,1.700,0.1130,-0.0130,41.80
454271467,1500,0,1689,168,-0.100,1.400,0.1050,-0.0290,41.80
454281298,1500,0,1689,168,-0.100,1.400,0.1050,-0.0290,41.80
454291521,1500,0,1633,95,0.000,1.700,0.1160,-0.0020,41.80
454301327,1500,0,1633,95,0.000,1.700,0.1160,-0.0020,41.80
454311432,1500,0,1622,75,0.100,1.100,0.1100,-0.0090,41.80
454321390,1500,0,1622,75,0.100,1.100,0.1100,-0.0090,41.80
454331395,1500,0,1622,118,0.100,1.800,0.1100,-0.0230,41.80
454341421,1500,0,1558,118,0.100,1.800,0.1120,-0.0230,41.80
454351422,1500,0,1558,10,0.100,1.100,0.1120,-0.0070,41.80
454361387,1500,0,1560,10,0.300,1.100,0.1010,-0.0070,41.80
454371543,1500,0,1560,0,0.300,1.100,0.1010,-0.0060,41.80
454381441,1500,0,1529,0,0.400,1.100,0.1040,-0.0060,41.80
454391385,1500,0,1529,0,0.400,1.100,0.1040,-0.0060,41.80
454401443,0,0,1502,134,0.500,1.700,0.1070,-0.0360,41.70
454411424,0,0,1502,134,0.500,1.700,0.1070,-0.0360,41.70
454421360,0,0,1469,57,-0.100,1.500,0.0960,-0.0190,41.80
454431383,0,0,1469,57,-0.100,1.500,0.0960,-0.0190,41.80
454441451,0,0,1417,2,-2.000,1.200,0.0400,-0.0190,41.80
454451526,0,0,1417,2,-2.000,1.200,0.0400,-0.0190,41.80
454461389,0,0,1316,0,4.000,1.100,-0.0150,-0.0200,41.80
454471452,0,0,1316,0,4.000,1.100,-0.0150,-0.0200,41.80
454481520,0,0,1207,0,5.800,1.100,-0.0730,-0.0190,41.70
454491386,0,0,1207,0,5.800,1.100,-0.0730,-0.0190,41.70
454501452,0,0,1029,0,6.300,1.200,-0.1210,-0.0160,41.60
454511414,0,0,1029,0,6.300,1.200,-0.1210,-0.0160,41.60
454521406,0,0,-38,0,-1.000,1.100,0.0130,-0.0210,41.80
454531428,0,0,-38,0,-1.000,1.100,0.0130,-0.0210,41.80
454542190,0,0,114,0,-1.500,1.200,0.0180,-0.0160,41.80
454551427,0,0,114,0,-1.500,1.200,0.0180,-0.0160,41.80
454561544,0,0,302,0,2.800,1.200,-0.0260,-0.0250,41.80
454571385,0,0,302,0,2.800,1.200,-0.0260,-0.0250,41.80
454581547,0,0,285,0,2.900,1.100,-0.0270,-0.0280,41.80
454591433,0,0,285,0,2.900,1.100,-0.0270,-0.0280,41.80
454601935,0,0,317,0,3.100,1.100,-0.0390,-0.0270,41.80
454611387,0,0,317,0,3.100,1.100,-0.0390,-0.0270,41.70
454621524,0,0,317,0,3.100,1.100,-0.0390,-0.0260,41.70
454631388,0,0,351,0,3.300,1.100,-0.0570,-0.0260,41.70
454641580,0,0,351,-136,3.300,0.500,-0.0570,-0.0090,41.70
454652501,0,0,113,-136,2.800,0.500,-0.0280,-0.0090,41.70
454661389,0,0,113,-136,2.800,0.500,-0.0280,-0.0090,41.70
454671384,0,0,166,-64,2.700,0.600,-0.0560,-0.0120,41.80
454681388,0,0,166,-64,2.700,0.600,-0.0560,-0.0120,41.80
454691390,0,0,65,-2,2.500,1.200,-0.0430,-0.0290,41.80
454701484,0,0,65,-2,2.500,1.200,-0.0430,-0.0290,41.80
